,nome,estado,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
256,jose nelto,Goiás,PP,direita,6.0,1.3,6.1,6.4,4.658823529411765,6.3
257,jose priante,Pará,MDB,centro,1.4,0.2,0.6,8.2,1.3058823529411765,5.07
258,jose ricardo,Amazonas,PT,esquerda,5.7,3.3,5.8,7.3,5.105882352941176,2.65
259,jose rocha,Bahia,UNIÃO,direita,1.9,0.2,3.9,9.1,2.176470588235294,6.3
260,joseildo ramos,Bahia,PT,esquerda,3.6,2.2,4.8,8.2,3.670588235294117,2.94
261,josimar maranhaozinho,Maranhão,PL,direita,1.4,0.0,0.9,9.1,1.3529411764705883,4.78
262,josivaldo jp,Maranhão,PSD,centro,0.9,0.2,1.2,10.0,1.2823529411764705,6.82
263,juarez costa,Mato Grosso,MDB,centro,2.5,1.5,1.8,4.5,2.1999999999999997,5.81
264,julian lemos,Paraíba,UNIÃO,direita,3.0,1.1,1.8,5.5,2.376470588235294,7.06
265,julio cesar,Piauí,PSD,centro,2.6,0.9,2.1,9.1,2.394117647058824,6.72
266,julio cesar ribeiro,Distrito Federal,REPUBLICANOS,direita,7.2,2.0,6.1,9.1,5.588235294117646,6.41
267,julio delgado,Minas Gerais,PV,esquerda,4.2,2.4,3.3,1.8,3.3705882352941177,3.82
268,juninho do pneu,Rio de Janeiro,UNIÃO,direita,5.1,0.7,4.8,9.1,3.988235294117647,6.5
269,junio amaral,Minas Gerais,PL,direita,4.1,0.7,2.4,3.6,2.7705882352941176,7.35
270,junior ferrari,Pará,PSD,centro,2.8,0.2,1.8,2.7,1.852941176470588,7.8
271,junior lourenco,Maranhão,PL,direita,1.0,0.0,1.5,10.0,1.3235294117647058,6.39
272,junior mano,Ceará,PL,direita,3.1,0.4,3.6,9.1,2.7470588235294118,5.84
273,juscelino filho,Maranhão,UNIÃO,direita,2.3,0.9,2.4,9.1,2.3058823529411763,5.68
274,kim kataguiri,São Paulo,UNIÃO,direita,9.0,3.3,6.1,0.9,6.335294117647059,7.85
275,laercio oliveira,Sergipe,PP,direita,3.4,1.5,4.5,7.3,3.264705882352941,7.54
276,lafayette de andrada,Minas Gerais,REPUBLICANOS,direita,4.1,0.2,3.9,9.1,3.211764705882353,6.09
277,lauriete,Espírito Santo,PSC,direita,4.2,1.1,2.4,8.2,3.2058823529411766,6.18
278,leandre,Paraná,PSD,centro,4.7,3.8,3.9,0.9,4.070588235294117,5.44
279,leda sadala,Amapá,PP,direita,2.2,1.8,2.4,7.3,2.4176470588235293,6.0
280,leo de brito,Acre,PT,esquerda,3.1,3.8,3.9,10.0,3.8529411764705883,4.03
281,leo moraes,Rondônia,PODE,centro,7.3,2.2,6.4,0.9,5.264705882352942,6.62
282,leo motta,Minas Gerais,REPUBLICANOS,direita,1.9,0.2,2.1,0.9,1.3764705882352941,5.97
283,leonardo monteiro,Minas Gerais,PT,esquerda,3.6,3.8,7.9,8.2,4.688235294117647,2.8
284,leonidas cristino,Ceará,PDT,esquerda,2.2,2.0,2.7,8.2,2.5823529411764707,3.15
285,leur lomanto junior,Bahia,UNIÃO,direita,2.2,0.0,2.7,6.4,1.8882352941176472,6.47
286,lidice da mata,Bahia,PSB,esquerda,5.5,2.4,7.0,6.4,4.905882352941177,2.47
287,lincoln portela,Minas Gerais,PL,direita,5.2,1.5,4.2,6.4,4.005882352941177,7.4
288,liziane bayer,Rio Grande do Sul,REPUBLICANOS,direita,3.2,1.3,2.4,0.9,2.3647058823529408,6.98
289,loester trutis,Mato Grosso do Sul,PL,direita,3.9,1.1,4.5,5.5,3.2764705882352945,7.21
290,lourival gomes,Rio de Janeiro,PP,direita,2.2,1.6,1.2,6.4,2.0941176470588236,6.96
291,lucas gonzalez,Minas Gerais,NOVO,direita,6.0,3.1,4.8,10.0,5.170588235294118,7.49
292,lucas redecker,Rio Grande do Sul,PSDB,centro,4.5,2.2,4.8,0.9,3.664705882352941,8.07
293,lucas vergilio,Goiás,SOLIDARIEDADE,centro,3.9,1.6,3.3,5.5,3.211764705882353,6.66
294,luciano bivar,Pernambuco,UNIÃO,direita,1.5,1.3,0.6,8.2,1.6764705882352942,5.84
295,luciano ducci,Paraná,PSB,esquerda,3.6,1.6,3.9,0.9,2.9058823529411764,3.82
296,lucio mosquini,Rondônia,MDB,centro,3.4,2.4,3.0,5.5,3.158823529411765,4.96
297,luis miranda,Distrito Federal,REPUBLICANOS,direita,8.2,3.6,6.1,5.5,6.317647058823529,7.24
298,luis tibe,Minas Gerais,AVANTE,centro,2.3,0.0,2.4,9.1,2.041176470588235,6.09
299,luisa canziani,Paraná,PSD,centro,3.5,2.9,3.9,6.4,3.5647058823529414,6.99
300,luiz antonio correa,Rio de Janeiro,PP,direita,2.0,0.2,1.8,8.2,1.7999999999999998,6.26
301,luiz carlos,Amapá,PSDB,centro,1.5,1.3,1.8,8.2,1.8882352941176468,6.55
302,luiz carlos motta,São Paulo,PL,direita,3.0,0.9,3.3,7.3,2.688235294117647,6.68
303,luiz lima,Rio de Janeiro,PL,direita,6.5,1.6,3.9,8.2,4.7,7.69
304,luiz nishimori,Paraná,PSD,centro,2.5,1.6,2.1,8.2,2.5,6.59
305,luiz philippe de orleans e braganca,São Paulo,PL,direita,6.7,1.3,4.8,1.8,4.488235294117647,7.78
306,luiza erundina,São Paulo,PSOL,esquerda,4.2,3.6,5.2,7.3,4.382352941176471,2.97
307,luizao goulart,Paraná,SOLIDARIEDADE,centro,5.6,0.4,3.6,7.3,3.8176470588235287,6.5
308,luizianne lins,Ceará,PT,esquerda,3.4,3.6,4.5,9.1,3.988235294117647,3.15
309,magda mofatto,Goiás,PL,direita,2.8,2.4,2.1,8.2,2.8764705882352946,5.32
310,major fabiana,Rio de Janeiro,PL,direita,3.2,1.1,3.3,9.1,2.947058823529412,7.2
311,mara rocha,Acre,MDB,centro,4.1,1.5,3.6,0.9,3.0588235294117645,6.24
312,marcel van hattem,Rio Grande do Sul,NOVO,direita,3.4,2.4,5.2,8.2,3.7058823529411766,7.66
313,marcelo alvaro antonio,Minas Gerais,PL,direita,1.0,0.4,0.9,9.1,1.2823529411764705,7.2
314,marcelo aro,Minas Gerais,PP,direita,2.5,1.3,2.7,8.2,2.5176470588235293,5.36
315,marcelo calero,Rio de Janeiro,PSD,centro,3.4,2.9,4.2,4.5,3.458823529411765,7.93
316,marcelo freixo,Rio de Janeiro,PSB,esquerda,5.2,4.4,5.8,8.2,5.247058823529412,3.37
317,marcelo nilo,Bahia,REPUBLICANOS,direita,2.4,0.4,3.0,5.5,2.1,4.05
318,marcelo ramos,Amazonas,PSD,centro,6.4,2.0,5.5,0.9,4.623529411764706,6.97
319,marcio alvino,São Paulo,PL,direita,1.6,1.1,3.9,9.1,2.3000000000000003,7.22
320,marcio biolchi,Rio Grande do Sul,MDB,centro,1.9,0.2,0.6,5.5,1.3823529411764706,6.89
321,marcio labre,Rio de Janeiro,PL,direita,3.1,0.9,2.1,7.3,2.523529411764706,7.33
322,marcio marinho,Bahia,REPUBLICANOS,direita,2.7,0.2,4.5,9.1,2.658823529411765,5.96
323,marco bertaiolli,São Paulo,PSD,centro,3.3,1.1,4.2,5.5,2.9411764705882355,8.02
324,marcon,Rio Grande do Sul,PT,esquerda,3.9,3.8,4.8,7.3,4.2294117647058815,2.56
325,marcos aurelio sampaio,Piauí,PSD,centro,2.0,0.2,2.1,9.1,1.9058823529411764,6.22
326,marcos pereira,São Paulo,REPUBLICANOS,direita,3.5,0.9,2.7,7.3,2.817647058823529,6.93
327,marcos soares,Rio de Janeiro,UNIÃO,direita,0.8,0.4,1.2,7.3,1.1352941176470588,5.81
328,margarete coelho,Piauí,PP,direita,4.8,0.7,4.5,8.2,3.741176470588235,6.32
329,maria do rosario,Rio Grande do Sul,PT,esquerda,7.2,2.5,6.4,8.2,5.735294117647059,2.62
330,maria rosas,São Paulo,REPUBLICANOS,direita,3.6,1.3,3.0,10.0,3.1941176470588233,5.9
331,marilia arraes,Pernambuco,SOLIDARIEDADE,centro,5.3,2.7,5.2,9.1,4.741176470588235,2.77
332,marina santos,Piauí,REPUBLICANOS,direita,2.7,1.1,2.4,8.2,2.5,6.5
333,mario heringer,Minas Gerais,PDT,esquerda,5.5,2.2,3.6,8.2,4.352941176470588,3.76
334,mario negromonte jr.,Bahia,PP,direita,2.4,0.9,1.8,5.5,2.0352941176470587,5.65
335,marlon santos,Rio Grande do Sul,PL,direita,1.7,0.7,1.8,0.9,1.3764705882352941,6.5
336,marreca filho,Maranhão,PATRIOTA,direita,4.9,2.2,3.3,6.4,3.911764705882353,6.82
337,marx beltrao,Alagoas,PP,direita,2.7,1.1,2.4,6.4,2.3941176470588235,6.32
338,mauricio dziedricki,Rio Grande do Sul,PODE,centro,3.3,0.0,3.0,6.4,2.4588235294117644,7.16
339,mauro benevides filho,Ceará,PDT,esquerda,1.6,1.8,2.1,9.1,2.1882352941176473,5.47
340,mauro lopes,Minas Gerais,PP,direita,2.6,0.9,2.7,7.3,2.394117647058824,6.2
341,mauro nazif,Rondônia,PSB,esquerda,7.0,0.7,5.2,0.9,4.470588235294118,4.65
342,merlong solano,Piauí,PT,esquerda,2.8,2.7,3.0,8.2,3.1235294117647054,3.32
343,miguel lombardi,São Paulo,PL,direita,2.4,1.5,1.8,6.4,2.264705882352941,7.26
344,milton coelho,Pernambuco,PSB,esquerda,1.7,1.1,2.4,7.3,1.9764705882352942,3.97
345,milton vieira,São Paulo,REPUBLICANOS,direita,2.4,0.9,1.8,10.0,2.3000000000000003,6.16
346,misael varella,Minas Gerais,PSD,centro,1.7,1.1,1.5,7.3,1.8176470588235296,6.03
347,natalia bonavides,Rio Grande do Norte,PT,esquerda,6.3,2.5,5.2,9.1,5.152941176470588,2.51
348,nelson barbudo,Mato Grosso,PL,direita,3.2,0.7,2.1,9.1,2.61764705882353,7.42
349,nereu crispim,Rio Grande do Sul,PSD,centro,5.5,1.1,6.1,3.6,4.199999999999999,6.79
350,neri geller,Mato Grosso,PP,direita,2.7,0.7,2.1,10.0,2.435294117647059,6.62
351,neucimar fraga,Espírito Santo,PP,direita,2.4,1.1,1.8,8.2,2.2529411764705882,6.9
352,newton cardoso jr,Minas Gerais,MDB,centro,2.7,1.1,4.5,5.5,2.711764705882353,5.65
353,nicoletti,Roraima,UNIÃO,direita,4.8,1.6,3.3,7.3,3.741176470588235,6.86
354,nilson pinto,Pará,PSDB,centro,1.5,1.1,1.8,8.2,1.8294117647058823,6.43
355,nilto tatto,São Paulo,PT,esquerda,6.9,4.4,5.2,9.1,5.9941176470588236,2.89
356,nivaldo albuquerque,Alagoas,REPUBLICANOS,direita,4.4,1.5,3.9,8.2,3.6823529411764713,6.87
357,norma ayub,Espírito Santo,PP,direita,3.5,1.3,3.6,2.7,2.823529411764706,5.49
358,odair cunha,Minas Gerais,PT,esquerda,2.2,1.3,4.5,7.3,2.6411764705882352,2.78
359,olival marques,Pará,MDB,centro,2.2,0.4,1.5,8.2,1.9,6.48
360,orlando silva,São Paulo,PCdoB,esquerda,5.0,2.7,6.7,8.2,4.811764705882353,2.5
361,osmar terra,Rio Grande do Sul,MDB,centro,1.4,0.9,1.5,2.7,1.3470588235294116,6.54
362,ossesio silva,Pernambuco,REPUBLICANOS,direita,3.6,1.8,3.3,10.0,3.3941176470588235,6.25
363,otoni de paula,Rio de Janeiro,MDB,centro,3.4,0.5,3.9,6.4,2.8117647058823527,6.9
364,ottaci nascimento,Roraima,SOLIDARIEDADE,centro,1.6,0.0,1.8,8.2,1.5529411764705883,6.42
365,otto alencar filho,Bahia,PSD,centro,4.3,0.9,3.0,0.9,2.8705882352941177,5.36
366,padre joao,Minas Gerais,PT,esquerda,4.0,2.2,6.4,9.1,4.194117647058824,2.57
367,pastor eurico,Pernambuco,PL,direita,4.0,1.3,3.3,8.2,3.329411764705882,7.39
368,pastor gil,Maranhão,PL,direita,3.4,0.7,3.3,7.3,2.8176470588235287,6.14
369,pastor sargento isidorio,Bahia,AVANTE,centro,4.2,0.0,2.4,0.9,2.452941176470588,4.08
370,patricia ferraz,Amapá,PODE,centro,2.0,0.4,2.7,10.0,2.123529411764706,6.84
371,patrus ananias,Minas Gerais,PT,esquerda,5.3,4.4,5.5,9.1,5.294117647058823,2.91
372,paula belmonte,Distrito Federal,CIDADANIA,centro,6.4,3.6,8.8,0.9,5.676470588235295,7.99
373,paulao,Alagoas,PT,esquerda,3.5,2.2,4.8,9.1,3.676470588235294,2.82
374,paulo abi-ackel,Minas Gerais,PSDB,centro,3.0,1.1,2.1,7.3,2.5352941176470587,6.05
375,paulo azi,Bahia,UNIÃO,direita,2.4,1.1,2.7,7.3,2.3588235294117643,6.55
376,paulo bengtson,Pará,PTB,direita,6.0,0.9,3.9,7.3,4.205882352941177,6.33
377,paulo eduardo martins,Paraná,PL,direita,4.7,1.3,3.0,0.9,3.176470588235294,7.73
378,paulo freire costa,São Paulo,PL,direita,1.7,1.3,0.9,8.2,1.8235294117647058,7.14
379,paulo ganime,Rio de Janeiro,NOVO,direita,6.3,4.7,5.5,9.1,5.852941176470588,7.82
380,paulo guedes,Minas Gerais,PT,esquerda,3.5,2.4,5.8,9.1,3.911764705882353,3.22
381,paulo magalhaes,Bahia,PSD,centro,2.0,0.4,0.9,4.5,1.4823529411764707,6.84
382,paulo pimenta,Rio Grande do Sul,PT,esquerda,4.4,3.5,5.8,8.2,4.605882352941176,2.1
383,paulo ramos,Rio de Janeiro,PDT,esquerda,5.9,3.5,5.5,6.4,5.152941176470589,3.14
384,paulo teixeira,São Paulo,PT,esquerda,7.0,4.4,8.5,9.1,6.623529411764705,2.3
385,pedro augusto bezerra,Ceará,PDT,esquerda,4.4,1.3,4.5,0.9,3.3000000000000003,6.24
386,pedro augusto palareti,Rio de Janeiro,PP,direita,1.1,0.5,0.6,8.2,1.2529411764705882,7.33
387,pedro cunha lima,Paraíba,PSDB,centro,2.6,2.4,2.7,3.6,2.6176470588235294,7.83
388,pedro lucas fernandes,Maranhão,UNIÃO,direita,4.8,1.5,3.6,6.4,3.711764705882353,6.64
389,pedro lupion,Paraná,PP,direita,4.4,1.3,3.6,5.5,3.411764705882353,6.84
390,pedro paulo,Rio de Janeiro,PSD,centro,1.8,1.5,1.8,8.2,2.088235294117647,6.98
391,pedro uczai,Santa Catarina,PT,esquerda,5.6,3.6,7.3,8.2,5.46470588235294,2.65
392,pedro vilela,Alagoas,PSDB,centro,2.2,1.8,2.4,7.3,2.4176470588235293,7.89
393,pedro westphalen,Rio Grande do Sul,PP,direita,3.6,0.9,4.8,9.1,3.341176470588235,7.35
394,perpetua almeida,Acre,PCdoB,esquerda,7.0,2.4,7.9,8.2,5.876470588235295,2.87
395,pinheirinho,Minas Gerais,PP,direita,3.5,1.3,2.7,9.1,3.0411764705882356,6.46
396,policial katia sastre,São Paulo,PL,direita,3.8,1.5,3.6,6.4,3.2411764705882353,6.48
397,pompeo de mattos,Rio Grande do Sul,PDT,esquerda,8.0,0.7,7.0,3.6,5.417647058823529,3.69
398,pr. marco feliciano,São Paulo,PL,direita,2.2,2.0,2.1,6.4,2.370588235294118,6.09
399,professor alcides,Goiás,PL,direita,2.4,1.1,2.4,9.1,2.411764705882353,6.77
400,professor israel batista,Distrito Federal,PSB,esquerda,5.2,3.3,6.7,0.9,4.652941176470589,4.14
401,professor joziel,Rio de Janeiro,PATRIOTA,direita,3.0,1.3,1.8,6.4,2.488235294117647,6.54
402,professora dayane pimentel,Bahia,UNIÃO,direita,2.8,1.3,2.4,0.9,2.1764705882352935,7.27
403,professora marcivania,Amapá,PCdoB,esquerda,2.8,2.5,3.3,9.1,3.1705882352941175,2.98
404,professora rosa neide,Mato Grosso,PT,esquerda,5.7,4.0,7.0,8.2,5.576470588235294,2.98
405,rafael motta,Rio Grande do Norte,PSB,esquerda,4.1,3.1,4.2,6.4,3.9588235294117644,3.86
406,raimundo costa,Bahia,PODE,centro,2.3,1.3,1.5,6.4,2.105882352941176,6.38
407,raul henry,Pernambuco,MDB,centro,2.2,1.3,2.1,0.9,1.8411764705882354,6.23
408,reginaldo lopes,Minas Gerais,PT,esquerda,6.5,4.0,7.0,8.2,5.952941176470588,2.65
409,rejane dias,Piauí,PT,esquerda,7.0,4.2,6.4,7.3,6.088235294117647,2.9
410,renildo calheiros,Pernambuco,PCdoB,esquerda,4.2,1.6,2.7,10.0,3.511764705882353,3.06
411,ricardo barros,Paraná,PP,direita,2.6,0.9,4.2,7.3,2.658823529411765,6.78
412,ricardo da karol,Rio de Janeiro,PDT,esquerda,0.7,0.0,0.6,9.1,0.9705882352941176,6.45
413,ricardo guidi,Santa Catarina,PSD,centro,2.2,0.5,1.2,8.2,1.8764705882352943,6.93
414,ricardo izar,São Paulo,REPUBLICANOS,direita,4.7,2.5,5.5,0.9,3.9705882352941178,5.35
415,ricardo silva,São Paulo,PSD,centro,4.8,2.5,3.3,0.9,3.629411764705882,6.33
416,ricardo teobaldo,Pernambuco,PODE,centro,1.8,1.1,1.2,5.5,1.7058823529411764,5.81
417,roberio monteiro,Ceará,PDT,esquerda,1.9,0.0,1.5,6.4,1.535294117647059,3.92
418,roberto alves,São Paulo,REPUBLICANOS,direita,3.9,1.6,2.7,10.0,3.370588235294118,6.07
419,roberto de lucena,São Paulo,REPUBLICANOS,direita,5.6,0.5,6.4,4.5,4.176470588235294,6.95
420,rodrigo agostinho,São Paulo,PSB,esquerda,7.4,3.3,4.5,0.9,5.300000000000001,5.01
421,rodrigo coelho,Santa Catarina,PODE,centro,4.3,1.5,5.8,0.9,3.541176470588235,7.91
422,rodrigo de castro,Minas Gerais,UNIÃO,direita,3.3,0.2,3.0,6.4,2.5176470588235293,6.65
423,rogerio correia,Minas Gerais,PT,esquerda,6.3,2.5,8.8,9.1,5.788235294117647,2.6
424,rogerio peninha mendonca,Santa Catarina,MDB,centro,3.0,0.2,2.4,0.9,1.947058823529412,7.38
425,ronaldo carletto,Bahia,PP,direita,2.2,2.9,1.5,10.0,2.7411764705882353,6.5
426,ronaldo martins,Ceará,REPUBLICANOS,direita,0.6,0.4,0.9,10.0,1.1470588235294117,6.65
427,rosana valle,São Paulo,PL,direita,4.0,2.2,4.2,0.9,3.323529411764706,6.28
428,rosangela gomes,Rio de Janeiro,REPUBLICANOS,direita,2.6,1.5,2.4,5.5,2.411764705882353,6.12
429,rose modesto,Mato Grosso do Sul,UNIÃO,direita,3.9,1.5,3.6,0.9,2.9647058823529413,5.92
430,rubens bueno,Paraná,CIDADANIA,centro,5.5,2.2,3.3,2.7,3.9764705882352946,7.04
431,rubens otoni,Goiás,PT,esquerda,5.8,3.5,5.8,10.0,5.370588235294117,3.14
432,rubens pereira junior,Maranhão,PT,esquerda,4.0,0.4,2.4,9.1,2.958823529411765,5.29
433,rui falcao,São Paulo,PT,esquerda,3.4,2.2,5.5,9.1,3.7529411764705887,2.6
434,ruy carneiro,Paraíba,PSC,direita,2.6,1.1,1.8,2.7,2.0235294117647062,6.26
435,samia bomfim,São Paulo,PSOL,esquerda,5.8,2.7,6.4,10.0,5.241176470588235,2.91
436,samuel moreira,São Paulo,PSDB,centro,2.8,1.3,2.1,0.9,2.123529411764706,7.76
437,sanderson,Rio Grande do Sul,PL,direita,7.0,2.2,5.2,8.2,5.341176470588235,7.31
438,sargento fahur,Paraná,PSD,centro,2.7,1.5,1.5,0.9,2.0294117647058822,7.39
439,sebastiao oliveira,Pernambuco,AVANTE,centro,2.3,0.2,2.1,9.1,2.0470588235294116,6.57
440,sergio brito,Bahia,PSD,centro,1.4,0.0,1.5,9.1,1.4588235294117646,6.34
441,sergio souza,Paraná,MDB,centro,3.1,1.5,3.3,6.4,2.8588235294117643,6.9
442,sergio toledo,Alagoas,PV,esquerda,2.3,0.7,1.5,8.2,2.0352941176470587,6.24
443,severino pessoa,Alagoas,MDB,centro,2.4,0.2,1.8,8.2,1.9882352941176469,6.02
444,sheridan,Roraima,PSDB,centro,3.5,0.4,2.4,3.6,2.4000000000000004,5.9
445,sidney leite,Amazonas,PSD,centro,3.3,3.3,3.0,2.7,3.211764705882353,5.96
446,silas camara,Amazonas,REPUBLICANOS,direita,3.1,2.2,3.0,8.2,3.1176470588235294,5.77
447,silvia cristina,Rondônia,PL,direita,3.0,0.5,3.3,0.9,2.1941176470588233,5.12
448,silvio costa filho,Pernambuco,REPUBLICANOS,direita,3.1,1.1,3.6,6.4,2.7941176470588234,6.81
449,soraya santos,Rio de Janeiro,PL,direita,3.9,1.5,3.0,6.4,3.182352941176471,6.84
450,sostenes cavalcante,Rio de Janeiro,PL,direita,4.2,1.8,2.1,3.6,3.0882352941176476,5.44
451,stefano aguiar,Minas Gerais,PSD,centro,1.8,2.0,0.9,6.4,1.9705882352941178,5.87
452,subtenente gonzaga,Minas Gerais,PSD,centro,5.8,2.0,4.8,2.7,4.323529411764706,4.04
453,tabata amaral,São Paulo,PSB,esquerda,7.5,4.0,6.7,0.9,5.9411764705882355,6.33
454,tadeu alencar,Pernambuco,PSB,esquerda,3.9,3.3,4.2,7.3,3.9764705882352946,3.6
455,taliria petrone,Rio de Janeiro,PSOL,esquerda,7.2,2.9,6.4,9.1,5.905882352941176,3.39
456,tereza nelma,Alagoas,PSD,centro,5.0,2.7,7.0,0.9,4.435294117647059,4.97
457,tiago dimas,Tocantins,PODE,centro,3.9,1.6,3.3,6.4,3.264705882352941,6.39
458,tiago mitraud,Minas Gerais,NOVO,direita,4.2,3.5,5.2,10.0,4.511764705882353,7.79
459,tiririca,São Paulo,PL,direita,2.2,1.3,0.9,0.9,1.6294117647058823,3.73
460,tito,Bahia,AVANTE,centro,2.0,1.1,1.5,4.5,1.7941176470588236,7.22
461,toninho wandscheer,Paraná,PROS,centro,2.3,0.7,1.8,7.3,2.0352941176470587,6.43
462,tulio gadelha,Pernambuco,REDE,esquerda,5.1,2.7,5.5,0.9,4.2176470588235295,3.5
463,uldurico junior,Bahia,MDB,centro,1.9,1.3,1.2,4.5,1.752941176470588,6.7
464,valmir assuncao,Bahia,PT,esquerda,4.2,2.4,4.2,8.2,3.905882352941177,2.63
465,vander loubet,Mato Grosso do Sul,PT,esquerda,3.1,3.5,4.8,7.3,3.7647058823529407,2.07
466,vanderlei macris,São Paulo,PSDB,centro,2.5,0.7,1.2,0.9,1.6470588235294117,7.06
467,vava martins,Pará,REPUBLICANOS,direita,2.7,0.4,2.1,8.2,2.2411764705882353,5.97
468,vermelho,Paraná,PL,direita,3.0,0.5,2.1,8.2,2.411764705882353,6.21
469,vicentinho,São Paulo,PT,esquerda,3.9,4.2,4.5,9.1,4.3999999999999995,2.85
470,vicentinho junior,Tocantins,PP,direita,3.0,0.2,3.0,10.0,2.588235294117647,6.52
471,vilson da fetaemg,Minas Gerais,PSB,esquerda,4.5,0.5,4.5,7.3,3.488235294117647,3.68
472,vinicius carvalho,São Paulo,REPUBLICANOS,direita,4.7,1.1,2.4,9.1,3.4941176470588236,6.56
473,vinicius farah,Rio de Janeiro,UNIÃO,direita,3.4,1.8,3.6,8.2,3.2470588235294118,5.49
474,vinicius poit,São Paulo,NOVO,direita,3.5,2.7,3.9,10.0,3.7176470588235295,7.88
475,vitor lippi,São Paulo,PSDB,centro,3.6,1.3,4.8,3.6,3.135294117647059,6.93
476,vivi reis,Pará,PSOL,esquerda,2.5,2.5,4.5,10.0,3.2941176470588234,1.64
477,waldenor pereira,Bahia,PT,esquerda,3.4,3.6,5.2,8.2,4.0588235294117645,2.71
478,walter alves,Rio Grande do Norte,MDB,centro,2.7,1.6,2.1,9.1,2.647058823529412,6.01
479,weliton prado,Minas Gerais,PROS,centro,4.0,1.6,3.0,0.9,2.9352941176470586,4.78
480,wellington roberto,Paraíba,PL,direita,2.8,1.6,2.4,10.0,2.8,5.76
481,wilson santiago,Paraíba,REPUBLICANOS,direita,4.1,0.9,3.9,8.2,3.364705882352941,4.29
482,wolney queiroz,Pernambuco,PDT,esquerda,4.2,4.0,3.3,9.1,4.270588235294118,3.49
483,ze carlos,Maranhão,PT,esquerda,3.1,2.0,6.4,7.3,3.605882352941176,2.78
484,ze neto,Bahia,PT,esquerda,4.2,1.1,5.5,7.3,3.6999999999999997,3.2
485,ze silva,Minas Gerais,SOLIDARIEDADE,centro,4.3,0.5,3.6,6.4,3.182352941176471,6.47
486,ze vitor,Minas Gerais,PL,direita,5.8,1.8,4.5,6.4,4.429411764705883,6.22
487,zeca dirceu,Paraná,PT,esquerda,3.2,3.1,4.5,8.2,3.6941176470588233,2.91
